link_id,periodo,irradiacao_normalizada,descricao
12,1,0.00,Noite - sem irradiação
12,2,0.00,Noite - sem irradiação
12,3,0.00,Noite - sem irradiação
12,4,0.00,Noite - sem irradiação
12,5,0.00,Madrugada - sem irradiação
12,6,0.08,Amanhecer - irradiação inicial
12,7,0.24,Manhã - irradiação crescente
12,8,0.40,Manhã - irradiação moderada
12,9,0.56,Manhã - irradiação forte
12,10,0.71,Manhã - irradiação intensa
12,11,0.87,Pré-meio-dia - quase máxima
12,12,1.00,Meio-dia - irradiação máxima
12,13,0.95,Pós-meio-dia - quase máxima
12,14,0.79,Tarde - irradiação intensa
12,15,0.63,Tarde - irradiação forte
12,16,0.48,Tarde - irradiação moderada
12,17,0.32,Tarde - irradiação decrescente
12,18,0.16,Entardecer - irradiação final
12,19,0.00,Noite - sem irradiação
12,20,0.00,Noite - sem irradiação
12,21,0.00,Noite - sem irradiação
12,22,0.00,Noite - sem irradiação
12,23,0.00,Noite - sem irradiação
13,0,0.00,Noite - sem irradiação
13,1,0.00,Noite - sem irradiação
13,2,0.00,Noite - sem irradiação
13,3,0.00,Noite - sem irradiação
13,4,0.00,Noite - sem irradiação
13,5,0.00,Madrugada - sem irradiação
13,6,0.08,Amanhecer - irradiação inicial
13,7,0.24,Manhã - irradiação crescente
13,8,0.40,Manhã - irradiação moderada
13,9,0.56,Manhã - irradiação forte
13,10,0.71,Manhã - irradiação intensa
13,11,0.87,Pré-meio-dia - quase máxima
13,12,1.00,Meio-dia - irradiação máxima
13,13,0.95,Pós-meio-dia - quase máxima
13,14,0.79,Tarde - irradiação intensa
13,15,0.63,Tarde - irradiação forte
13,16,0.48,Tarde - irradiação moderada
13,17,0.32,Tarde - irradiação decrescente
13,18,0.16,Entardecer - irradiação final
13,19,0.00,Noite - sem irradiação
13,20,0.00,Noite - sem irradiação
13,21,0.00,Noite - sem irradiação
13,22,0.00,Noite - sem irradiação
13,23,0.00,Noite - sem irradiação
14,0,0.00,Noite - sem irradiação
14,1,0.00,Noite - sem irradiação
14,2,0.00,Noite - sem irradiação
14,3,0.00,Noite - sem irradiação
14,4,0.00,Noite - sem irradiação
14,5,0.00,Madrugada - sem irradiação
14,6,0.08,Amanhecer - irradiação inicial
14,7,0.24,Manhã - irradiação crescente
14,8,0.40,Manhã - irradiação moderada
14,9,0.56,Manhã - irradiação forte
14,10,0.71,Manhã - irradiação intensa
14,11,0.87,Pré-meio-dia - quase máxima
14,12,1.00,Meio-dia - irradiação máxima
14,13,0.95,Pós-meio-dia - quase máxima
14,14,0.79,Tarde - irradiação intensa
14,15,0.63,Tarde - irradiação forte
14,16,0.48,Tarde - irradiação moderada
14,17,0.32,Tarde - irradiação decrescente
14,18,0.16,Entardecer - irradiação final
14,19,0.00,Noite - sem irradiação
14,20,0.00,Noite - sem irradiação
14,21,0.00,Noite - sem irradiação
14,22,0.00,Noite - sem irradiação
14,23,0.00,Noite - sem irradiação
